Indicator,Company,Year,Value,Category,Category 2
      - Accumulated depreciation,VDL,2022,0.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAT,2020,-29.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAT,2021,-32.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAT,2022,-34.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAT,2020,0.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAT,2021,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Accumulated depreciation,HAT,2022,-1.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,BHN,2020,9280.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,BHN,2021,9327.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,BHN,2022,9382.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,BHN,2020,122.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,BHN,2021,157.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,BHN,2022,157.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SAB,2020,10775.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SAB,2021,10847.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SAB,2022,11440.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SAB,2020,179.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SAB,2021,174.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SAB,2022,174.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SAB,2020,1102.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SAB,2021,1103.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SAB,2022,1104.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SCD,2020,59.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SCD,2021,64.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SCD,2022,111.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SCD,2020,179.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SCD,2021,174.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SCD,2022,174.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SCD,2020,1.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SCD,2021,1.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SCD,2022,1.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SMB,2020,1463.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SMB,2021,1526.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SMB,2022,1549.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SMB,2020,1.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SMB,2021,1.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,SMB,2022,1.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VCF,2020,1096.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VCF,2021,1106.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VCF,2022,1026.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VCF,2020,2.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VCF,2021,2.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VCF,2022,2.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAD,2020,295.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAD,2021,296.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAD,2022,296.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAD,2020,2.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAD,2021,2.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAD,2022,2.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,THB,2020,556.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,THB,2021,554.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,THB,2022,572.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,THB,2020,7.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,THB,2021,7.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,THB,2022,7.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VDL,2020,120.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VDL,2021,139.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VDL,2022,139.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VDL,2020,0.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VDL,2021,0.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,VDL,2022,0.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAT,2020,50.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAT,2021,50.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAT,2022,50.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAT,2020,1.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAT,2021,1.0,ASSETS,   B. LONG-TERM ASSETS
      - Cost,HAT,2022,1.0,ASSETS,   B. LONG-TERM ASSETS
     1. Owner's capital,BHN,2020,2318.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,BHN,2021,2318.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,BHN,2022,2318.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,SAB,2020,6413.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,SAB,2021,6413.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,SAB,2022,6413.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,SCD,2020,85.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,SCD,2021,85.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,SCD,2022,85.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,SMB,2020,298.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,SMB,2021,298.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,SMB,2022,298.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,VCF,2020,266.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,VCF,2021,266.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,VCF,2022,266.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,HAD,2020,40.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,HAD,2021,40.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,HAD,2022,40.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,THB,2020,114.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,THB,2021,114.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,THB,2022,114.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,VDL,2020,147.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,VDL,2021,147.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,VDL,2022,147.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,HAT,2020,31.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,HAT,2021,31.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Owner's capital,HAT,2022,31.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     1. Tangible fixed assets,BHN,2020,2482.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,BHN,2021,2088.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,BHN,2022,1757.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,SAB,2020,3753.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,SAB,2021,3301.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,SAB,2022,3369.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,SCD,2020,5.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,SCD,2021,8.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,SCD,2022,53.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,SMB,2020,381.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,SMB,2021,377.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,SMB,2022,351.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,VCF,2020,465.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,VCF,2021,411.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,VCF,2022,314.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,HAD,2020,28.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,HAD,2021,22.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,HAD,2022,18.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,THB,2020,63.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,THB,2021,43.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,THB,2022,52.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,VDL,2020,46.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,VDL,2021,58.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,VDL,2022,52.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,HAT,2020,21.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,HAT,2021,18.0,ASSETS,   B. LONG-TERM ASSETS
     1. Tangible fixed assets,HAT,2022,16.0,ASSETS,   B. LONG-TERM ASSETS
     11. Undistributed earnings after tax,BHN,2020,1548.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,BHN,2021,327.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,BHN,2022,763.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,SAB,2020,12374.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,SAB,2021,13656.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,SAB,2022,15565.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,SCD,2020,4.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,SCD,2021,-33.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,SCD,2022,-82.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,SMB,2020,122.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,SMB,2021,170.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,SMB,2022,214.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,VCF,2020,1003.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,VCF,2021,752.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,VCF,2022,1154.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,HAD,2020,11.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,HAD,2021,6.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,HAD,2022,11.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,THB,2020,9.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,THB,2021,11.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
     11. Undistributed earnings after tax,THB,2022,16.0,OWNER'S EQUITY,   B. OWNER'S EQUITY
